billing_date,cust_id,product_id,revenue,active_users,total_logins,api_calls,storage_used_gb,support_tickets,response_time_hrs,feature_usage_score,customer_satisfaction,training_sessions,integration_count,data_processed_tb,uptime_percentage,performance_score,target,subscription_health_score,user_engagement_index,retention_probability,customer_health_index
2023-01-31,CUST_0001,prod_10,881.07,193.0,1060.0,37062.0,155.5,8.0,2.1,0.47,5.5,5.0,27.0,20.2,98.87,0.7,0,0.9830444847182692,88.00990548420022,0.7775980177360846,91.4063309656325
2023-02-28,CUST_0001,prod_10,511.15,217.0,1492.0,4065.0,47.2,11.0,12.3,1.03,6.8,11.0,12.0,5.8,97.91,0.8,0,0.9617456237772233,95.91238104939575,0.8784542016834715,88.12959719862354
2023-03-31,CUST_0001,prod_10,1867.32,213.0,72.0,10573.0,321.2,7.0,-0.4,0.3,5.9,1.0,14.0,25.6,97.72,0.61,0,0.9319271610528858,95.46279566673407,0.910594057043026,92.42147411691785
2023-04-30,CUST_0001,prod_10,1086.64,120.0,487.1208746307052,10492.0,121.26130392737936,9.0,26.5,0.5896956898512135,8.4,0.6834333300955173,25.0,10.24043960417988,99.63,0.28,0,0.9932749961252129,98.41550122529834,0.8662594447947377,89.14579596098643
2023-05-31,CUST_0001,prod_10,955.91,20.0,171.0,2749.0,145.4,5.0,13.6,0.82,8.6,1.0,17.0,15.2,96.91,1.29,0,0.9916085171155545,89.73748793691304,0.7908883102245946,82.00386321033875
2023-06-30,CUST_0001,prod_10,700.1,52.0,26.898428227011077,7460.0,47.44730376741278,14.0,10.0,0.52,5.557402192514652,2.0,6.0,3.9,97.35,0.4322412382359867,0,0.9470019065534856,96.00074774538581,0.8943495664933453,77.7648063682357
2023-07-31,CUST_0001,prod_10,1597.33,140.0,804.0,21969.0,72.7,8.0,17.8,1.01,5.9,0.0,7.0,1.5,120.01,0.93,0,0.9627955469955487,87.69035444533,0.9310944943388746,97.8667852002077
2023-08-31,CUST_0001,prod_10,3472.01,12.0,699.0,1797.0,141.6,7.0,28.1,0.67,8.5,2.0,13.0,16.9,99.33,0.93,0,0.9228125430563053,83.8787042220149,0.8420319558677967,71.93062051224878
2023-09-30,CUST_0001,prod_10,2109.52,175.0,842.0,12976.0,26.6,3.0,14.4,0.64,6.1,1.0,5.0,8.6,99.13,0.54,0,0.9072883162950327,94.58841701038804,0.8806745190286638,79.19995556404741
2023-10-31,CUST_0001,prod_10,1001.85,65.0,1649.0,15300.0,106.4,4.0,9.0,0.34,7.4,3.0,6.0,8.7,99.44,0.67,0,0.9969606079390698,97.27999061212205,0.8266993827133744,82.60419834568617
2023-11-30,CUST_0001,prod_10,567.6,59.0,95.0,1458.0,178.2,0.0,8.2,0.55,9.6,12.0,14.0,17.4,98.72,1.06,0,0.9091247555407153,85.92741422265337,0.8540747762078101,81.47234367022587
2023-12-31,CUST_0001,prod_10,887.6,75.0,411.0,16074.0,27.95886171388008,1.0,11.898103749409051,0.39,8.6,8.369189651106682,15.512559502653897,6.0,98.35253833532246,0.22,1,0.17492964152843377,27.502873114065785,0.09160300776897784,36.87657703315126
2023-01-31,CUST_0002,prod_08,231.09,48.0,3336.0,15667.0,107.2,8.0,1.2,1.58,9.9,3.0,1.0,23.0,99.23,0.61,0,0.9789098246956216,99.51490738528346,0.9210964387886702,99.96361486660308
2023-02-28,CUST_0002,prod_08,770.77,103.0,1387.0,10323.0,107.7,2.0,23.8,0.64,5.2,8.0,13.0,6.9,100.03,0.72,0,0.9639507193134655,94.07828724826463,0.8327689113254775,85.45711993589178
2023-03-31,CUST_0002,prod_08,3564.24,186.0,1662.0,2653.0,172.9,1.0,12.9,0.45,9.7,5.0,11.0,38.0,33.17,0.69,0,0.9277543647420755,85.26709620441208,0.9382643451065071,89.0969533563221
2023-04-30,CUST_0002,prod_08,861.76,122.0,927.0,7371.0,18.2,1.0,21.3,0.67,3.4,9.0,5.0,6.2,99.75,0.32,0,0.9725403519682839,89.20205292441943,0.8963803978667797,87.50208988404073
